ticker,date,quarter_number,year,revenue,assets,rnd_expense,capex,intangible_assets_change,operating_cash_flow,net_income,total_debt,property_plant_equipment_net,intangible_assets,goodwill_change_4q,intangible_change_4q,market_cap,cap_intensity,rnd_deferral_ratio,ocf_margin,earnings_quality,leverage,current_inventory_ratio,ppe_total_assets,rnd_intensity,acquisitions_intensity,goodwill_change_intensity,intangible_assets_change_intensity,total_dna,profitability,sector,sub_sector,sector_baseline,revenue_growth,ocf_margin_next,ocf_ttm,revenue_volatility,log_market_cap,log_total_assets,cap_aggressive
AABPX,2021-06-30,2,2021,508952000.0,700375000.0,30323000.0,-9938000.0,4522000.0,64504000.0,19050000.0,0.0,0.0,194519500.0,7417000.0,4522000.0,105896682.0,-0.32773802064439533,0.18155538603605412,0.12673886731951148,3.386036745406824,0.4877933250044619,0.48336349714603927,0.02313760485454221,0.059579292349769726,0.0,0.038129853305195624,0.0064565411386757095,0.035638051044083525,0.2729580581831162,Unknown,Unknown,Unknown,,0.12940715761185276,64504000.0,,18.477974478636035,20.367126463849722,False
AABPX,2021-09-30,3,2021,538811000.0,715407750.0,31358000.0,-10224000.0,3564000.0,69726000.0,21621000.0,0.0,0.0,197005750.0,-5492000.0,3564000.0,105896682.0,-0.32604120160724537,0.1443031824439226,0.12940715761185276,3.224920216456223,0.4903277187030753,0.4691235383601132,0.0209684616919512,0.058198514878129805,0.0,0.027877358909574976,0.004981774379715624,0.03679719712289949,0.2865107346125339,Unknown,Unknown,Unknown,0.05866761502066997,0.15485873517956664,134230000.0,21113501.37944912,18.477974478636035,20.38836321783088,False
AABPX,2021-12-31,4,2021,557676000.0,718874500.0,32086000.0,-9518000.0,4065000.0,86361000.0,18587000.0,0.0,0.0,197087500.0,-4245000.0,4065000.0,105896682.0,-0.2966402792495169,0.15263019562197275,0.15485873517956664,4.646311938451606,0.48861171178001167,0.4588372614854447,0.01995480435041165,0.05753519964997597,0.0,0.02153865668801928,0.005654672686261649,0.03640691108114142,0.29775294575061434,Unknown,Unknown,Unknown,0.03501227703220611,0.14647259242717986,220591000.0,24567852.578793567,18.477974478636035,20.39319735246674,False
AABPX,2022-03-31,1,2022,591114000.0,728233750.0,32440000.0,-9908000.0,710000.0,86582000.0,25451000.0,0.0,0.0,197734750.0,923000.0,710000.0,105896682.0,-0.3054254007398274,0.0305481455984855,0.14647259242717986,3.4019095516875564,0.4874334648730576,0.4473018666103006,0.005844277335402266,0.05487943104037461,0.0,0.004667869456430901,0.0009749616795431412,0.035664372874780935,0.30252786279130844,Unknown,Unknown,Unknown,0.05995954640328782,0.12904762141003825,307173000.0,34430817.32377745,18.477974478636035,20.406132639788986,False
AABPX,2022-06-30,2,2022,604707000.0,730284250.0,33269000.0,-10097000.0,-9518000.0,78036000.0,27137000.0,0.0,0.0,196711000.0,381000.0,-9518000.0,105896682.0,-0.3034957467913072,-0.697085103266442,0.12904762141003825,2.8756310572281385,0.48357916797466194,0.44398303487899293,-0.0009297749472208938,0.05501672710916196,0.0,0.0019368515233006798,-0.013033281218922632,0.035840838687127646,0.2978333436603624,Unknown,Unknown,Unknown,0.02299556430739247,0.06701428299621438,320705000.0,30205627.654462032,18.477974478636035,20.408944399878248,False
AABPX,2022-09-30,3,2022,609676000.0,740360000.0,34108000.0,-10501000.0,-10634000.0,40857000.0,28380000.0,0.0,0.0,193243250.0,-45000.0,-10634000.0,105896682.0,-0.3078749853406825,-0.8197024589532105,0.06701428299621438,1.4396405919661734,0.4925566616240748,0.44302258829243546,0.003380787724890594,0.05594446886543016,0.0,0.00023286712472492572,-0.014363282727321843,0.03437651953103896,0.2837497973958615,Unknown,Unknown,Unknown,0.00821720271139581,0.09367387613493762,291836000.0,23430790.388930578,18.477974478636035,20.42264711235279,False
AABPX,2022-12-31,4,2022,609615000.0,748398250.0,35653000.0,-13261000.0,-11701000.0,57105000.0,27404000.0,0.0,0.0,189949000.0,-2067000.0,-11701000.0,105896682.0,-0.3719462597817855,-1.0944719857824339,0.09367387613493762,2.083819880309444,0.498928545062739,0.44873637738878086,0.0037039103178020524,0.058484453302494195,0.0,0.010881868290962311,-0.015634723891991997,0.034354703528502374,0.2570650051626925,Unknown,Unknown,Unknown,-0.00010005314298089374,0.08200961862313154,262580000.0,8757794.813764535,18.477974478636035,20.43344581403972,False
AABPX,2023-03-31,1,2023,584907000.0,754301250.0,37553000.0,-12557000.0,-9651000.0,47968000.0,19387000.0,0.0,0.0,186335000.0,369000.0,-9651000.0,105896682.0,-0.3343807418848028,-0.6289345063538612,0.08200961862313154,2.4742353123226906,0.5053783219900537,0.4684282417333571,0.005430191186876596,0.06420336908260629,0.0009319883799741814,0.0019803042906592965,-0.012794622838023934,0.03388699143743962,0.23800702968475793,Unknown,Unknown,Unknown,-0.040530498757412436,-0.021540174259957086,223966000.0,11778553.147564476,18.477974478636035,20.44130238198807,False
AABPX,2023-06-30,2,2023,569494000.0,761554750.0,39208000.0,-14105000.0,-8583000.0,-12267000.0,11504000.0,0.0,0.0,183101000.0,2004000.0,-8583000.0,105896682.0,-0.35974801061007955,-0.5195520581113802,-0.021540174259957086,-1.0663247566063978,0.5152626912247609,0.49053306729326207,0.004170415849943815,0.06884708179541839,0.0,0.010944779110982463,-0.011270365000021338,0.03297727445072071,0.22730736037034763,Unknown,Unknown,Unknown,-0.026351197711772967,-0.07599740976068518,133663000.0,19760736.912709877,18.477974478636035,20.45087262528557,False
ABAT,2024-03-31,3,2024,0.0,84182509.5,13498454.0,-14665520.0,732932.0,-14982442.0,-33617319.0,0.0,0.0,4406334.75,0.0,732932.0,291912905.0,-1.0864592345167825,-1.6882621494745862,,0.4456762896529613,0.23662330653138822,0.04943498262483939,0.4244874405888316,,0.19101205340047508,0.0,0.008706464137897909,0.0038981612920436877,-0.0038981612920436877,Unknown,Unknown,Unknown,,-48.72265211062591,-55859735.0,0.0,19.491966045193102,18.248497731981388,False
